dataset_legivel,documento,taxa_encontrado,sim_media_geral
conhecimento_12,MMIP_5_Escritura-Escritura_20250414_000.pdf,0.9166666666666666,0.8239252232015133
conhecimento_12,MRFG_10_Escritura-Escritura_20220128_000.pdf,0.9791666666666666,0.8976674924294153
conhecimento_12,MRFG_11_Escritura-Escritura_20221110_000.pdf,0.9583333333333334,0.9044704126815001
conhecimento_12,MRFG_17_Escritura-Escritura_20240816_000.pdf,0.9791666666666666,0.8691305555403233
conhecimento_12,NISS_4_Escritura-Escritura_20220713_000.pdf,0.9791666666666666,0.8534604571759701
conhecimento_12,NOWS_1_Escritura-Escritura_20211105_000.pdf,0.9791666666666666,0.8683435333271822
conhecimento_12,NRSA_2_Escritura-Escritura_20190530_000.pdf,0.9791666666666666,0.8885935066888729
conhecimento_12,NTON_3_Escritura-Escritura_20240112_000.pdf,0.9166666666666666,0.8245238537589709
conhecimento_12,OCRM_1_Escritura-Escritura_20211008_000.pdf,0.9791666666666666,0.8761846280346314
conhecimento_12,OIWI12_Escritura-Escritura_20230127_000.pdf,1.0,0.864712821242089
conhecimento_12,PCHS_20_Escritura-Escritura_20250904_000.pdf,0.9583333333333334,0.8724936631818613
conhecimento_12,PCHS_5_Escritura-Escritura_20231109_000.pdf,0.9583333333333334,0.880006205290556
conhecimento_12,RADL_2_Escritura_20180326_000.pdf,1.0,0.8271494290481011
conhecimento_12,RBHO_5_Escritura_20180418_000.pdf,1.0,0.8654128008832535
conhecimento_12,RHAG_3_Escritura-Escritura_20240718_000.pdf,0.9583333333333334,0.8786680238942305
conhecimento_12,RNVA_1_Escritura-Escritura_20210401_000.pdf,0.8958333333333334,0.8674968625806893
conhecimento_12,RODC_3_Escritura-Escritura_20250523_000.pdf,0.9791666666666666,0.8760869167745113
conhecimento_12,SAPE_2_Escritura-Escritura_20211105_000.pdf,1.0,0.870400233194232
conhecimento_12,SBFC_3_Escritura-Escritura_20220330_000.pdf,0.9583333333333334,0.8711226085821787
conhecimento_12,SMTO_3_Escritura-Escritura_20210622_000.pdf,0.9791666666666666,0.8732893442114195
conhecimento_12,SMTO_4_Escritura-Escritura_20220117_000.pdf,0.8541666666666666,0.7522156847019991
conhecimento_12,SMTO_5_Escritura-Escritura_20221221_000.pdf,0.9583333333333334,0.8419398578504721
conhecimento_12,SSED_1_Escritura_20180628_000.pdf,0.9166666666666666,0.8174491015573343
conhecimento_12,STCL_1_Escritura-Escritura_20250221_000.pdf,1.0,0.8621085236469904
conhecimento_12,TMER_2_Escritura-Escritura_20240202_000.pdf,0.8125,0.8187752577165762
conhecimento_12,TNDA_4_Escritura-Escritura_20250820_000.pdf,0.9375,0.8175157320996126
conhecimento_12,TPER_1_Escritura-Escritura_20231221_001.pdf,0.8541666666666666,0.8411584546168646
conhecimento_12,TRGP_1_Escritura-Escritura_20240611_000.pdf,1.0,0.9051737636327744
conhecimento_12,TRPL_15_Escritura-Escritura_20240216_000.pdf,0.9375,0.885236299286286
conhecimento_12,TVXV_1_Escritura-Escritura_20210111_000.pdf,0.9375,0.870058186352253
conhecimento_12,UFVP_1_Escritura-Escritura_20220916_000.pdf,0.9166666666666666,0.8784664832055569
conhecimento_12,UHEJ11_Escritura-Escritura_20250617_000.pdf,1.0,0.8961092419922352
conhecimento_12,VARZ_1_Escritura-Escritura_20221128_000.pdf,0.8958333333333334,0.8516196105629206
conhecimento_12,VECS_1_Escritura-Escritura_20220705_000.pdf,0.9375,0.8710696746905645
conhecimento_12,VIIA_9_Escritura-Escritura_20230505_000.pdf,1.0,0.9359508727987608
